GHZ;;;;;;;;;
FREQ.GHZ;;S11DB;S11A;S21DB;S21A;S12DB;S12A;S22DB;S22A
0.001590782;1590782;-1.662486;-0.2609551;-21.06181;-0.1895851;-21.1123;-0.2249906;-29.73687;-178.7479
0.001600659;1600659;-1.658232;-0.262762;-21.05854;-0.1988073;-21.11118;-0.2409469;-29.74379;-178.7887
0.001610598;1610598;-1.659786;-0.2510621;-21.05922;-0.2458203;-21.11085;-0.2134964;-29.73872;-178.7695
0.001620598;1620598;-1.6615;-0.253493;-21.05914;-0.242495;-21.11;-0.2466821;-29.73434;-178.7464
0.00163066;1630660;-1.657759;-0.2517206;-21.05533;-0.2541495;-21.11069;-0.2323703;-29.73823;-178.7448
0.001640784;1640784;-1.659166;-0.2496414;-21.05859;-0.2157204;-21.11291;-0.2306883;-29.7333;-178.7123
0.001650972;1650972;-1.659761;-0.2505571;-21.05967;-0.2599206;-21.10901;-0.2773874;-29.73787;-178.7535
0.001661222;1661222;-1.659257;-0.2559373;-21.05703;-0.2716345;-21.10609;-0.2498455;-29.73768;-178.7294
0.001671537;1671537;-1.661589;-0.2689752;-21.06143;-0.2427604;-21.11087;-0.2506219;-29.73801;-178.7297
0.001681915;1681915;-1.661316;-0.2649181;-21.06021;-0.2450477;-21.11276;-0.2375575;-29.74183;-178.6752
0.001692358;1692358;-1.661877;-0.2712658;-21.06266;-0.2025261;-21.10634;-0.2484702;-29.74104;-178.6702
0.001702866;1702866;-1.66133;-0.2710893;-21.06131;-0.2953261;-21.11192;-0.2635779;-29.73854;-178.7112
0.001713438;1713438;-1.663117;-0.2764093;-21.06557;-0.1857703;-21.11058;-0.235892;-29.7406;-178.6125
0.001724077;1724077;-1.662137;-0.2924552;-21.06325;-0.2133039;-21.10759;-0.2459383;-29.73913;-178.6523
0.001734782;1734782;-1.659793;-0.2683898;-21.06024;-0.234069;-21.11119;-0.2747146;-29.74132;-178.6905
